trace,full_seq_len,input_x_seq_len,true_y_seq_len,pred_y_seq_len,acc,recall,precision,f1,levenshtein,damerau_levenshtein,local_alignment,global_alignment,emph_start,longest_subsequence,longest_substring,overlap,entropy,input,true_encoded,pred_encoded,true_encoded_with_padding,pred_encoded_with_padding,true_decoded,pred_decoded
10,13,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,021 | 021-001 | 021-001-013 | 021-001-013-008 | 021-001-013-008-001 | 021-001-013-008-001-013 | 021-001-013-008-001-013-008 | 021-001-013-008-001-013-008-001 | 021-001-013-008-001-013-008-001-014 | 021-001-013-008-001-013-008-001-014-002 | 021-001-013-008-001-013-008-001-014-002-005 | 021-001-013-008-001-013-008-001-014-002-005-006,022,000,022,000,<E>,<P>
11,8,6,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.20751874963942196,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005,006 -> 022,014,006 -> 022,014,Payment_Handled -> <E>,APPROVED_by_ADMINISTRATION
12,7,2,5,5,0.6,0.6,1.0,0.7,0.6,0.6,0.6,0.8,0.7333333333333334,0.6,0.4,0.6,0.7739332463009987,021 | 021-001,004 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,004 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,APPROVED_by_PRE_APPROVER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E>
13,8,7,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-004 | 021-001-004-002 | 021-001-004-002-005 | 021-001-004-002-005-006 | 021-001-004-002-005-006-022,000,000,000,000,<P>,<P>
14,7,2,5,5,0.6,0.6,1.0,0.7,0.6,0.6,0.6,0.8,0.7333333333333334,0.6,0.4,0.6,0.7739332463009987,021 | 021-001,004 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,004 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,APPROVED_by_PRE_APPROVER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E>
15,6,5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-002 | 021-001-002-005 | 021-001-002-005-006,022,022,022,022,<E>,<E>
16,7,5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.20751874963942196,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005,006 -> 022,014,006 -> 022,014,Payment_Handled -> <E>,APPROVED_by_ADMINISTRATION
17,8,6,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.20751874963942196,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005,006 -> 022,014,006 -> 022,014,Payment_Handled -> <E>,APPROVED_by_ADMINISTRATION
18,7,2,5,5,0.6,0.6,1.0,0.7,0.6,0.6,0.6,0.8,0.7333333333333334,0.6,0.4,0.6,0.7739332463009987,021 | 021-001,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E>
19,8,4,4,5,0.6,0.6,1.0,0.7333333333333332,0.6,0.6,0.5,0.7,0.8049999999999999,0.6,0.4,0.75,0.8769556609382364,021 | 021-001 | 021-001-014 | 021-001-014-015,002 -> 005 -> 006 -> 022,002 -> 002 -> 006 -> 022 -> 022,002 -> 005 -> 006 -> 022,002 -> 002 -> 006 -> 022 -> 022,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E> -> <E>
20,7,1,6,5,0.16666666666666666,0.16666666666666666,0.5,0.25,0.5,0.5,0.6,0.6666666666666666,0.7000000000000001,0.5,0.33333333333333337,0.6,0.7217343464337871,021,001 -> 014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,001 -> 014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E>
21,6,4,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.4993483330448709,021 | 021-001 | 021-001-014 | 021-001-014-007,008 -> 022,002 -> 002 -> 005 -> 006,008 -> 022,002 -> 002 -> 005 -> 006,REJECTED_by_EMPLOYEE -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled
22,6,2,4,5,0.2,0.2,0.6,0.3,0.6,0.6,0.75,0.7,0.8049999999999999,0.6,0.4,0.75,0.8447863087818965,021 | 021-001,002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E>
23,8,7,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006 | 021-001-014-002-005-006-022,000,000,000,000,<P>,<P>
24,7,2,5,5,0.6,0.6,1.0,0.7,0.6,0.6,0.6,0.8,0.7333333333333334,0.6,0.4,0.6,0.7739332463009987,021 | 021-001,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E>
25,7,4,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333326,0.7420981285103057,021 | 021-001 | 021-001-014 | 021-001-014-002,005 -> 006 -> 022,014 -> 002 -> 006,005 -> 006 -> 022,014 -> 002 -> 006,Request_Payment -> Payment_Handled -> <E>,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled
26,7,2,5,5,0.6,0.6,1.0,0.7,0.6,0.6,0.6,0.8,0.7333333333333334,0.6,0.4,0.6,0.7739332463009987,021 | 021-001,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E>
27,7,2,5,5,0.6,0.6,1.0,0.7,0.6,0.6,0.6,0.8,0.7333333333333334,0.6,0.4,0.6,0.7739332463009987,021 | 021-001,004 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,004 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,APPROVED_by_PRE_APPROVER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E>
28,6,5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-002 | 021-001-002-005 | 021-001-002-005-006,022,022,022,022,<E>,<E>
29,7,1,6,5,0.16666666666666666,0.16666666666666666,0.5,0.25,0.5,0.5,0.6,0.6666666666666666,0.7000000000000001,0.5,0.33333333333333337,0.6,0.7217343464337871,021,001 -> 014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,001 -> 014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E>
30,7,5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.20751874963942196,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005,006 -> 022,014,006 -> 022,014,Payment_Handled -> <E>,APPROVED_by_ADMINISTRATION
31,5,1,4,5,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.25,0.5,0.4833333333333334,0.19999999999999996,0.19999999999999996,0.25,0.6505228829360992,021,001 -> 013 -> 008 -> 022,002 -> 002 -> 002 -> 006 -> 022,001 -> 013 -> 008 -> 022,002 -> 002 -> 002 -> 006 -> 022,SUBMITTED_by_EMPLOYEE -> REJECTED_by_ADMINISTRATION -> REJECTED_by_EMPLOYEE -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E>
32,7,3,4,5,0.2,0.2,0.4,0.26666666666666666,0.8,0.8,1.0,0.8,0.94,0.8,0.8,1.0,0.9823301978951452,021 | 021-001 | 021-001-014,002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 022,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
33,8,4,4,5,0.6,0.6,1.0,0.7333333333333332,0.6,0.6,0.5,0.7,0.8049999999999999,0.6,0.4,0.75,0.8769556609382364,021 | 021-001 | 021-001-014 | 021-001-014-015,002 -> 005 -> 006 -> 022,002 -> 002 -> 006 -> 022 -> 022,002 -> 005 -> 006 -> 022,002 -> 002 -> 006 -> 022 -> 022,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E> -> <E>
34,11,1,10,5,0.0,0.0,0.0,0.0,0.30000000000000004,0.30000000000000004,0.6,0.4,0.43333333333333335,0.30000000000000004,0.19999999999999996,0.6,0.6253696398966284,021,001 -> 014 -> 016 -> 008 -> 001 -> 014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,001 -> 014 -> 016 -> 008 -> 001 -> 014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> REJECTED_by_BUDGET_OWNER -> REJECTED_by_EMPLOYEE -> SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E>
35,8,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005 | 021-001-014-015-002-005-006,022,000,022,000,<E>,<P>
36,11,5,6,5,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.8,0.75,0.8222222222222223,0.6666666666666667,0.6666666666666667,0.8,0.8438515108634739,021 | 021-001 | 021-001-013 | 021-001-013-008 | 021-001-013-008-001,014 -> 015 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 022,014 -> 015 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 022,APPROVED_by_ADMINISTRATION -> APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
37,3,1,2,5,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.5,0.3,0.0,0.19999999999999996,0.19999999999999996,0.5,0.6447117054453602,021,012 -> 022,002 -> 002 -> 002 -> 006 -> 022,012 -> 022,002 -> 002 -> 002 -> 006 -> 022,SAVED_by_EMPLOYEE -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E>
38,8,7,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006 | 021-001-014-002-005-006-022,000,000,000,000,<P>,<P>
39,7,4,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333326,0.7420981285103057,021 | 021-001 | 021-001-014 | 021-001-014-002,005 -> 006 -> 022,014 -> 002 -> 006,005 -> 006 -> 022,014 -> 002 -> 006,Request_Payment -> Payment_Handled -> <E>,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled
40,7,3,4,5,0.2,0.2,0.4,0.26666666666666666,0.8,0.8,1.0,0.8,0.94,0.8,0.8,1.0,0.9823301978951452,021 | 021-001 | 021-001-014,002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 022,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
41,6,5,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.22602396837087924,021 | 021-001 | 021-001-013 | 021-001-013-008 | 021-001-013-008-022,000,014 -> 002 -> 005 -> 006,000,014 -> 002 -> 005 -> 006,<P>,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled
42,7,3,4,5,0.2,0.2,0.4,0.26666666666666666,0.8,0.8,1.0,0.8,0.94,0.8,0.8,1.0,0.9823301978951452,021 | 021-001 | 021-001-014,002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 022,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
43,7,1,6,5,0.16666666666666666,0.16666666666666666,0.5,0.25,0.5,0.5,0.6,0.6666666666666666,0.7000000000000001,0.5,0.33333333333333337,0.6,0.7217343464337871,021,001 -> 014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,001 -> 014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E>
44,8,1,7,5,0.0,0.0,0.0,0.0,0.4285714285714286,0.4285714285714286,0.6,0.5714285714285714,0.6761904761904761,0.4285714285714286,0.2857142857142857,0.6,0.6811403372894902,021,001 -> 014 -> 015 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,001 -> 014 -> 015 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E>
45,7,6,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006,022,022,022,022,<E>,<E>
46,7,4,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333326,0.7420981285103057,021 | 021-001 | 021-001-014 | 021-001-014-002,005 -> 006 -> 022,014 -> 002 -> 006,005 -> 006 -> 022,014 -> 002 -> 006,Request_Payment -> Payment_Handled -> <E>,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled
47,11,10,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-013 | 021-001-013-008 | 021-001-013-008-001 | 021-001-013-008-001-014 | 021-001-013-008-001-014-002 | 021-001-013-008-001-014-002-005 | 021-001-013-008-001-014-002-005-006 | 021-001-013-008-001-014-002-005-006-022,000,000,000,000,<P>,<P>
48,8,1,7,5,0.0,0.0,0.0,0.0,0.4285714285714286,0.4285714285714286,0.6,0.5714285714285714,0.6761904761904761,0.4285714285714286,0.2857142857142857,0.6,0.6811403372894902,021,001 -> 014 -> 015 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,001 -> 014 -> 015 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E>
49,7,5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.20751874963942196,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005,006 -> 022,014,006 -> 022,014,Payment_Handled -> <E>,APPROVED_by_ADMINISTRATION
50,7,5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.20751874963942196,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005,006 -> 022,014,006 -> 022,014,Payment_Handled -> <E>,APPROVED_by_ADMINISTRATION
51,7,4,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333326,0.7420981285103057,021 | 021-001 | 021-001-014 | 021-001-014-002,005 -> 006 -> 022,014 -> 002 -> 006,005 -> 006 -> 022,014 -> 002 -> 006,Request_Payment -> Payment_Handled -> <E>,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled
52,7,2,5,5,0.6,0.6,1.0,0.7,0.6,0.6,0.6,0.8,0.7333333333333334,0.6,0.4,0.6,0.7739332463009987,021 | 021-001,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 006 -> 022,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> <E>
