trace,full_seq_len,input_x_seq_len,true_y_seq_len,pred_y_seq_len,acc,recall,precision,f1,levenshtein,damerau_levenshtein,local_alignment,global_alignment,emph_start,longest_subsequence,longest_substring,overlap,entropy,input,true_encoded,pred_encoded,true_encoded_with_padding,pred_encoded_with_padding,true_decoded,pred_decoded
10,13,12,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-013 | 021-001-013-008 | 021-001-013-008-001 | 021-001-013-008-001-013 | 021-001-013-008-001-013-008 | 021-001-013-008-001-013-008-001 | 021-001-013-008-001-013-008-001-014 | 021-001-013-008-001-013-008-001-014-002 | 021-001-013-008-001-013-008-001-014-002-005 | 021-001-013-008-001-013-008-001-014-002-005-006,022,022,022,022,<E>,<E>
11,8,6,2,1,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5408520829727552,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005,006 -> 022,022,006 -> 022,022,Payment_Handled -> <E>,<E>
12,7,2,5,5,0.6,0.6,1.0,0.7333333333333332,0.6,0.6,0.6,0.8,0.7333333333333334,0.6,0.6,0.6,0.8046247597694274,021 | 021-001,004 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,004 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,APPROVED_by_PRE_APPROVER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> Payment_Handled
13,8,7,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-004 | 021-001-004-002 | 021-001-004-002-005 | 021-001-004-002-005-006 | 021-001-004-002-005-006-022,000,000,000,000,<P>,<P>
14,7,2,5,5,0.6,0.6,1.0,0.7333333333333332,0.6,0.6,0.6,0.8,0.7333333333333334,0.6,0.6,0.6,0.8046247597694274,021 | 021-001,004 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,004 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,APPROVED_by_PRE_APPROVER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> Payment_Handled
15,6,5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-002 | 021-001-002-005 | 021-001-002-005-006,022,022,022,022,<E>,<E>
16,7,5,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.6666666666666666,0.5,0.5,0.5,0.75,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005,006 -> 022,005 -> 022,006 -> 022,005 -> 022,Payment_Handled -> <E>,Request_Payment -> <E>
17,8,6,2,1,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5408520829727552,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005,006 -> 022,022,006 -> 022,022,Payment_Handled -> <E>,<E>
18,7,2,5,5,0.6,0.6,1.0,0.7333333333333332,0.6,0.6,0.6,0.8,0.7333333333333334,0.6,0.6,0.6,0.8046247597694274,021 | 021-001,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> Payment_Handled
19,8,4,4,4,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,0.5,0.75,0.6666666666666666,0.5,0.25,0.5,0.7295739585136225,021 | 021-001 | 021-001-014 | 021-001-014-015,002 -> 005 -> 006 -> 022,002 -> 002 -> 006 -> 006,002 -> 005 -> 006 -> 022,002 -> 002 -> 006 -> 006,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
20,7,1,6,5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.33333333333333337,0.33333333333333337,0.4,0.5833333333333334,0.7000000000000001,0.5,0.33333333333333337,0.6,0.7514171092838129,021,001 -> 014 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 002 -> 006 -> 006,001 -> 014 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 002 -> 006 -> 006,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
21,6,4,2,5,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.5,0.3,0.0,0.19999999999999996,0.19999999999999996,0.5,0.5770168496645787,021 | 021-001 | 021-001-014 | 021-001-014-007,008 -> 022,002 -> 002 -> 006 -> 005 -> 022,008 -> 022,002 -> 002 -> 006 -> 005 -> 022,REJECTED_by_EMPLOYEE -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Request_Payment -> <E>
22,6,2,4,5,0.2,0.2,0.4,0.26666666666666666,0.6,0.6,0.75,0.7,0.8049999999999999,0.6,0.6,0.75,0.8769556609382364,021 | 021-001,002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> Payment_Handled
23,8,7,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006 | 021-001-014-002-005-006-022,000,000,000,000,<P>,<P>
24,7,2,5,5,0.6,0.6,1.0,0.7333333333333332,0.6,0.6,0.6,0.8,0.7333333333333334,0.6,0.6,0.6,0.8046247597694274,021 | 021-001,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> Payment_Handled
25,7,4,3,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.5555555555555555,0.33333333333333337,0.33333333333333337,0.33333333333333326,0.6618189176584932,021 | 021-001 | 021-001-014 | 021-001-014-002,005 -> 006 -> 022,002 -> 006 -> 006,005 -> 006 -> 022,002 -> 006 -> 006,Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
26,7,2,5,5,0.6,0.6,1.0,0.7333333333333332,0.6,0.6,0.6,0.8,0.7333333333333334,0.6,0.6,0.6,0.8046247597694274,021 | 021-001,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> Payment_Handled
27,7,2,5,5,0.6,0.6,1.0,0.7333333333333332,0.6,0.6,0.6,0.8,0.7333333333333334,0.6,0.6,0.6,0.8046247597694274,021 | 021-001,004 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,004 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,APPROVED_by_PRE_APPROVER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> Payment_Handled
28,6,5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-002 | 021-001-002-005 | 021-001-002-005-006,022,022,022,022,<E>,<E>
29,7,1,6,5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.33333333333333337,0.33333333333333337,0.4,0.5833333333333334,0.7000000000000001,0.5,0.33333333333333337,0.6,0.7514171092838129,021,001 -> 014 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 002 -> 006 -> 006,001 -> 014 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 002 -> 006 -> 006,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
30,7,5,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.6666666666666666,0.5,0.5,0.5,0.75,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005,006 -> 022,005 -> 022,006 -> 022,005 -> 022,Payment_Handled -> <E>,Request_Payment -> <E>
31,5,1,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5988158459631647,021,001 -> 013 -> 008 -> 022,002 -> 005 -> 002 -> 006 -> 006,001 -> 013 -> 008 -> 022,002 -> 005 -> 002 -> 006 -> 006,SUBMITTED_by_EMPLOYEE -> REJECTED_by_ADMINISTRATION -> REJECTED_by_EMPLOYEE -> <E>,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
32,7,3,4,5,0.2,0.2,0.4,0.26666666666666666,0.6,0.6,0.75,0.7,0.8049999999999999,0.6,0.6,0.75,0.8769556609382364,021 | 021-001 | 021-001-014,002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> Payment_Handled
33,8,4,4,4,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,0.5,0.75,0.6666666666666666,0.5,0.25,0.5,0.7295739585136225,021 | 021-001 | 021-001-014 | 021-001-014-015,002 -> 005 -> 006 -> 022,002 -> 002 -> 006 -> 006,002 -> 005 -> 006 -> 022,002 -> 002 -> 006 -> 006,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
34,11,1,10,5,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.4,0.35,0.5333333333333333,0.30000000000000004,0.19999999999999996,0.6,0.655532312743359,021,001 -> 014 -> 016 -> 008 -> 001 -> 014 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 002 -> 006 -> 006,001 -> 014 -> 016 -> 008 -> 001 -> 014 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 002 -> 006 -> 006,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> REJECTED_by_BUDGET_OWNER -> REJECTED_by_EMPLOYEE -> SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
35,8,7,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005 | 021-001-014-015-002-005-006,022,022,022,022,<E>,<E>
36,11,5,6,5,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.8,0.75,0.8222222222222223,0.6666666666666667,0.6666666666666667,0.8,0.8438515108634739,021 | 021-001 | 021-001-013 | 021-001-013-008 | 021-001-013-008-001,014 -> 015 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 022,014 -> 015 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 022,APPROVED_by_ADMINISTRATION -> APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
37,3,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5099279978939156,021,012 -> 022,002 -> 005 -> 002 -> 006 -> 006,012 -> 022,002 -> 005 -> 002 -> 006 -> 006,SAVED_by_EMPLOYEE -> <E>,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
38,8,7,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006 | 021-001-014-002-005-006-022,000,000,000,000,<P>,<P>
39,7,4,3,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.5555555555555555,0.33333333333333337,0.33333333333333337,0.33333333333333326,0.6618189176584932,021 | 021-001 | 021-001-014 | 021-001-014-002,005 -> 006 -> 022,002 -> 006 -> 006,005 -> 006 -> 022,002 -> 006 -> 006,Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
40,7,3,4,5,0.2,0.2,0.4,0.26666666666666666,0.6,0.6,0.75,0.7,0.8049999999999999,0.6,0.6,0.75,0.8769556609382364,021 | 021-001 | 021-001-014,002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> Payment_Handled
41,6,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,021 | 021-001 | 021-001-013 | 021-001-013-008 | 021-001-013-008-022,000,022,000,022,<P>,<E>
42,7,3,4,5,0.2,0.2,0.4,0.26666666666666666,0.6,0.6,0.75,0.7,0.8049999999999999,0.6,0.6,0.75,0.8769556609382364,021 | 021-001 | 021-001-014,002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> Payment_Handled
43,7,1,6,5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.33333333333333337,0.33333333333333337,0.4,0.5833333333333334,0.7000000000000001,0.5,0.33333333333333337,0.6,0.7514171092838129,021,001 -> 014 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 002 -> 006 -> 006,001 -> 014 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 002 -> 006 -> 006,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
44,8,1,7,5,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.4,0.5,0.5619047619047619,0.4285714285714286,0.2857142857142857,0.6,0.7100647269811198,021,001 -> 014 -> 015 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 002 -> 006 -> 006,001 -> 014 -> 015 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 002 -> 006 -> 006,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
45,7,6,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006,022,022,022,022,<E>,<E>
46,7,4,3,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.5555555555555555,0.33333333333333337,0.33333333333333337,0.33333333333333326,0.6618189176584932,021 | 021-001 | 021-001-014 | 021-001-014-002,005 -> 006 -> 022,002 -> 006 -> 006,005 -> 006 -> 022,002 -> 006 -> 006,Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
47,11,10,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-013 | 021-001-013-008 | 021-001-013-008-001 | 021-001-013-008-001-014 | 021-001-013-008-001-014-002 | 021-001-013-008-001-014-002-005 | 021-001-013-008-001-014-002-005-006 | 021-001-013-008-001-014-002-005-006-022,000,000,000,000,<P>,<P>
48,8,1,7,5,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.4,0.5,0.5619047619047619,0.4285714285714286,0.2857142857142857,0.6,0.7100647269811198,021,001 -> 014 -> 015 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 002 -> 006 -> 006,001 -> 014 -> 015 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 002 -> 006 -> 006,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
49,7,5,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.6666666666666666,0.5,0.5,0.5,0.75,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005,006 -> 022,005 -> 022,006 -> 022,005 -> 022,Payment_Handled -> <E>,Request_Payment -> <E>
50,7,5,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.6666666666666666,0.5,0.5,0.5,0.75,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005,006 -> 022,005 -> 022,006 -> 022,005 -> 022,Payment_Handled -> <E>,Request_Payment -> <E>
51,7,4,3,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.5555555555555555,0.33333333333333337,0.33333333333333337,0.33333333333333326,0.6618189176584932,021 | 021-001 | 021-001-014 | 021-001-014-002,005 -> 006 -> 022,002 -> 006 -> 006,005 -> 006 -> 022,002 -> 006 -> 006,Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
52,7,2,5,5,0.6,0.6,1.0,0.7333333333333332,0.6,0.6,0.6,0.8,0.7333333333333334,0.6,0.6,0.6,0.8046247597694274,021 | 021-001,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> Payment_Handled
